Date,EEM,GLD,IWM,QQQ,SPY,TLT,XLE,XLF,^VIX
2004-01-02,12.06978988647461,,41.87489700317383,30.72256088256836,74.03553009033203,40.87290954589844,7.467483043670654,14.66794490814209,18.219999313354492
2004-01-05,12.493287086486816,,42.364723205566406,31.339365005493164,74.8409194946289,40.766380310058594,7.6111907958984375,14.78804874420166,17.489999771118164
2004-01-06,12.35212230682373,,42.30864334106445,31.55061912536621,74.91412353515625,41.216583251953125,7.60305643081665,14.782828330993652,16.729999542236328
2004-01-07,12.380931854248047,,42.757347106933594,31.837890625,75.16708374023438,41.38114547729492,7.524427890777588,14.793265342712402,15.5
2004-01-08,12.427748680114746,,43.082637786865234,32.09137725830078,75.46660614013672,41.36662673950195,7.546117305755615,14.84549331665039,15.609999656677246
2004-01-09,12.405420303344727,,42.7386474609375,31.8801326751709,74.8076400756836,42.08784103393555,7.584076404571533,14.793265342712402,16.75
2004-01-12,12.394615173339844,,43.53882598876953,32.387115478515625,75.36006927490234,42.05397415161133,7.605766296386719,14.855934143066406,16.81999969482422
2004-01-13,12.324034690856934,,43.355594635009766,32.0660285949707,74.9207992553711,42.33953857421875,7.6084794998168945,14.782828330993652,18.040000915527344
2004-01-14,12.343478202819824,,43.5799560546875,32.17587661743164,75.54647827148438,42.54767990112305,7.589498996734619,14.897706031799316,16.75
2004-01-15,12.091395378112793,,43.69212341308594,32.260372161865234,75.73282623291016,42.707420349121094,7.4620585441589355,15.023030281066895,15.5600004196167
2004-01-16,12.14324951171875,,43.9351806640625,32.58991622924805,76.03236389160156,42.407310485839844,7.53255558013916,15.070025444030762,15.0
2004-01-20,12.496169090270996,,44.46240234375,32.564579010009766,76.01235961914062,42.39762496948242,7.722360610961914,15.049139022827148,15.210000038146973
2004-01-21,12.512738227844238,,44.40257263183594,32.42938232421875,76.61141967773438,42.49928665161133,7.768462181091309,15.273676872253418,14.34000015258789
2004-01-22,12.481042861938477,,44.15205383300781,32.23503494262695,76.4117660522461,42.809112548828125,7.730498313903809,15.273676872253418,14.710000038146973
2004-01-23,12.46015453338623,,44.391353607177734,32.11674499511719,76.16545867919922,42.295982360839844,7.79828405380249,15.200571060180664,14.84000015258789
2004-01-26,12.542984962463379,,44.83258056640625,32.606807708740234,77.12393188476562,42.03944396972656,7.844381809234619,15.409440040588379,14.550000190734863
2004-01-27,12.47960376739502,,44.27170181274414,31.888595581054688,76.3318862915039,42.30082702636719,7.8281121253967285,15.305009841918945,15.350000381469727
2004-01-28,12.303144454956055,,43.5799560546875,31.347816467285156,75.4599380493164,41.92813491821289,7.716940402984619,15.033475875854492,16.780000686645508
2004-01-29,12.10940170288086,,43.16865539550781,31.46611976623535,75.5331802368164,41.84097671508789,7.71151876449585,15.158795356750488,17.139999389648438
2004-01-30,12.092832565307617,,43.2247428894043,31.322479248046875,75.5331802368164,42.13139343261719,7.638307094573975,15.169239044189453,16.6299991607666
2004-02-02,12.095715522766113,,43.33689498901367,31.237987518310547,75.85933685302734,42.042945861816406,7.6816887855529785,15.258008003234863,17.110000610351562
2004-02-03,12.028011322021484,,43.093868255615234,31.204172134399414,75.73282623291016,42.25680923461914,7.6518635749816895,15.273676872253418,17.34000015258789
2004-02-04,11.919977188110352,,42.0282096862793,30.697216033935547,75.11382293701172,42.17420196533203,7.597635269165039,15.148359298706055,17.8700008392334
2004-02-05,11.916378021240234,,42.42082595825195,30.81550407409668,75.3334732055664,42.00892639160156,7.529845237731934,15.14312744140625,17.709999084472656
2004-02-06,12.187907218933105,,43.493934631347656,31.373170852661133,76.17879486083984,42.470703125,7.581363677978516,15.39899730682373,16.0
